feature,importance,domain
TF:mod0_spread,56.0,TF
TIME:tkeo_std,55.0,TIME
TF:glcm_22_homogeneity_d2_a0,55.0,TF
TF:WPT_aadd_min,55.0,TF
TF:DWT_L3_max,55.0,TF
TF:WPT_ddaa_min,55.0,TF
FREQ:cepstral_2,55.0,FREQ
TIME:env_mean,54.0,TIME
FREQ:bandP_4,54.0,FREQ
TF:glcm_52_homogeneity_d3_a2,54.0,TF
FREQ:hist_b30,53.0,FREQ
TIME:seg_energy_9,53.0,TIME
TF:WPT_aadd_tk_max,53.0,TF
TF:WPT_aaaa_min,53.0,TF
SPAT:sp_tv_norm,53.0,SPAT
TF:WPT_ddad_max,53.0,TF
TF:DWT_L4_range,53.0,TF
TF:tf_area,53.0,TF
TF:WPT_aaaa_tk_mean,52.0,TF
TF:DWT_L6_median,52.0,TF
TIME:mean,52.0,TIME
TF:DWT_L3_skew,52.0,TF
TF:DWT_L1_tk_mean,52.0,TF
TF:WPT_dadd_mean,52.0,TF
TF:WPT_ddda_mean,52.0,TF
TF:DWT_L1_skew,52.0,TF
TF:WPT_dddd_skew,52.0,TF
TF:WPT_adaa_kurt,52.0,TF
FREQ:mag_min,52.0,FREQ
TF:DWT_L2_median,52.0,TF
TF:WPT_addd_kurt,52.0,TF
TF:glcm_7_homogeneity_d1_a1,51.0,TF
TF:WPT_daaa_median,51.0,TF
TF:WPT_aaaa_skew,51.0,TF
TIME:env_kurt,51.0,TIME
TIME:iqr,51.0,TIME
TF:WPT_dadd_median,51.0,TF
TIME:env_skew,51.0,TIME
TIME:katz_fd,51.0,TIME
TF:WPT_dadd_kurt,51.0,TF
SPAT:st_vel_mean,51.0,SPAT
TF:WPT_adad_tk_max,51.0,TF
TF:WPT_addd_entropy,50.0,TF
TF:mod10_spread,50.0,TF
TF:WPT_ddad_range,50.0,TF
SPAT:sp_edge_density,50.0,SPAT
TF:WPT_adaa_zcr,50.0,TF
FREQ:cepstral_6,50.0,FREQ
TF:WPT_dddd_mean,50.0,TF
TF:Et_centroid,50.0,TF
TF:WPT_aada_median,49.0,TF
TF:WPT_daaa_kurt,49.0,TF
TIME:hist_b10,49.0,TIME
TF:lbp_b11,49.0,TF
TF:WPT_daad_kurt,49.0,TF
TF:WPT_dadd_entropy,49.0,TF
TIME:margin_factor,49.0,TIME
TF:WPT_daad_zcr,49.0,TF
TF:lbp_b27,49.0,TF
TF:glcm_12_homogeneity_d1_a2,49.0,TF
TF:WPT_dadd_min,48.0,TF
TF:hog_b11,48.0,TF
TF:WPT_ddaa_zcr,48.0,TF
TF:WPT_ddaa_median,48.0,TF
TF:lbp_b10,48.0,TF
TF:DWT_L2_tk_mean,48.0,TF
TF:Ef_flatness,48.0,TF
TF:WPT_aadd_skew,47.0,TF
TF:lbp_b6,47.0,TF
