feature,votes,score_variance,rank_variance,score_pearson,rank_pearson,score_mutual_info,rank_mutual_info,score_relieff,rank_relieff,score_mrmr,rank_mrmr,score_rfe,rank_rfe,score_boruta,rank_boruta,score_shap,rank_shap,avg_rank,selection_pct
FREQ:frac_high,4,0.031814347952604294,497.0,0.22077949675343686,359.0,0.2837382212276687,460.0,0.1607647588409881,400.0,0.0,701.5,-12.0,952.5,-148.0,541.5,0.00012146878236929585,553.0,558.0625,50.0
TF:DWT_L5_tk_mean,4,0.08279447257518768,437.0,0.25094839822421405,186.0,0.31729667762321956,364.0,0.15566609140666687,434.0,0.0,701.5,-10.0,752.5,-284.0,677.0,1.3457593595364194e-05,919.0,558.875,50.0
TF:WPT_adda_tk_mean,4,0.429441899061203,309.0,0.2434713228029841,239.0,0.2736801571924068,483.0,0.1370502140909578,583.0,0.0,701.5,-10.0,752.5,-181.0,574.0,4.192164266948486e-05,836.0,559.75,50.0
TF:WPT_aaaa_rel_energy,4,0.0320066474378109,496.0,0.2081901505617175,419.0,0.19824625362639337,668.0,0.16134775341342025,396.0,0.0,701.5,-12.0,952.5,-143.0,536.0,0.00027148745708682867,311.0,560.0,50.0
TF:DWT_L0_p2p,4,87.18355560302734,95.5,0.1967447449985613,467.5,0.1680190388403564,740.5,0.1487954603745931,481.5,0.0,701.5,-6.0,352.5,-525.0,918.5,6.456558052504491e-05,750.0,563.4375,50.0
TF:WPT_adad_std,4,0.028655972331762314,507.0,0.2293158454566083,326.0,0.27166454099795345,494.0,0.17679279288253835,343.0,0.0,701.5,-12.0,952.5,-260.0,653.5,0.00012483613822369898,540.0,564.6875,50.0
TIME:autocorr_lag10,4,0.03581175208091736,486.0,0.17067425276787596,590.0,0.22540949539589805,607.0,0.17530074951887434,348.0,0.0,701.5,-12.0,952.5,-6.0,399.5,0.00015463965761707728,440.0,565.5625,50.0
TIME:tkeo_mean,4,0.026114512234926224,511.0,0.24544382342096296,221.0,0.2858092733048134,448.0,0.1476746429065671,494.0,0.0,701.5,-11.0,852.5,-9.0,402.5,1.815397499991028e-05,909.0,567.4375,50.0
TF:DWT_L5_rms,4,0.04835713654756546,471.0,0.2331687287870219,310.0,0.35065399699374433,299.0,0.15589941048133946,430.0,0.0,701.5,-12.0,952.5,-304.0,697.5,8.289359040438844e-05,683.0,568.0625,50.0
TF:WPT_ddaa_min,4,0.03146859630942345,499.0,0.1544993518256802,683.0,0.14138077392429604,781.0,0.09911457405774703,707.0,0.0,701.5,-6.0,352.5,-2.0,359.0,0.00014582139153389078,464.0,568.375,50.0
TF:DWT_L3_log_energy,4,0.03658890724182129,483.5,0.15835773190954294,672.5,0.20098342846954242,658.5,0.15202695516303474,458.5,0.0,701.5,-9.0,652.5,-37.0,430.0,0.00013874483925777224,495.0,569.0,50.0
TF:WPT_adad_rel_energy,4,9.786593000171706e-05,813.0,0.2411248121284657,261.0,0.2920357846788071,424.0,0.15624288079693563,429.0,1.0,400.0,-9.0,652.5,-355.0,748.0,3.731368389185189e-05,854.0,572.6875,50.0
TF:WPT_ddaa_max,4,0.035242196172475815,490.0,0.16149651428265824,644.0,0.13293893200384543,796.0,0.09018154032983325,735.0,0.0,701.5,-6.0,352.5,-46.0,439.5,0.00016493523438517656,429.0,573.4375,50.0
TF:WPT_dada_log_energy,4,0.10900542140007019,401.0,0.1861325456518983,526.0,0.27796126736899485,471.0,0.09560646367053013,722.0,0.0,701.5,-9.0,652.5,-324.0,717.0,0.00018594401732732779,398.0,573.625,50.0
TF:WPT_dada_var,4,4.105651896679774e-05,836.0,0.24356326966012629,237.0,0.2726542311832114,487.0,0.13803242201301255,571.0,0.0,701.5,-9.0,652.5,-247.0,640.0,0.00013949229972335056,492.0,577.125,50.0
TF:WPT_adad_tk_max,4,10.514152526855469,150.0,0.12888792864631674,761.0,0.2114626000341393,629.0,0.08157593452128388,747.0,0.0,701.5,-7.0,452.5,-355.0,748.0,0.00014541270072646056,466.0,581.875,50.0
TF:WPT_aaaa_rms,4,0.2578602433204651,352.0,0.21420738449615964,387.0,0.22982129529632234,597.0,0.154504097878097,446.0,0.0,701.5,-12.0,952.5,-37.0,430.0,5.545775449637021e-05,792.0,582.25,50.0
TF:WPT_dadd_tk_mean,4,4.3818522499350365e-06,877.0,0.2494492680588426,202.0,0.2813950316524729,464.0,0.13005502468036975,609.0,0.0,701.5,-6.0,352.5,-269.0,662.0,4.607136499500661e-05,815.0,585.375,50.0
TF:WPT_adaa_rel_energy,4,1.7611667999517522e-06,899.0,0.23037882744712426,322.0,0.28370784632604096,461.0,0.14597915664214672,511.0,0.0,701.5,-6.0,352.5,-206.0,599.5,3.103132979877929e-05,875.0,590.1875,50.0
TF:WPT_adda_skew,4,1.3908425569534302,234.0,0.06459338505340834,877.0,0.3247725113967159,348.0,0.0038965270616675117,922.0,0.0,701.5,-5.0,252.5,-403.0,796.0,9.264167110831087e-05,647.0,597.25,50.0
TF:WPT_adad_log_energy,4,0.14701291918754578,387.0,0.19297160436385283,483.0,0.27442259752349907,479.0,0.13469909895840942,594.0,0.0,701.5,-9.0,652.5,-282.0,675.0,4.7112914042394134e-05,811.0,597.875,50.0
TF:WPT_addd_std,4,0.06816548854112625,451.0,0.23968013334538293,274.0,0.22706128264036396,602.0,0.1651280877596825,380.0,0.0,701.5,-12.0,952.5,-240.0,633.0,2.2443159934061425e-05,901.0,611.875,50.0
TF:WPT_adad_rms,4,0.028732672333717346,506.0,0.2293352065798068,325.0,0.2713119621152309,498.0,0.1765224965800465,346.0,0.0,701.5,-12.0,952.5,-256.0,649.0,0.0,971.0,618.625,50.0
TF:WPT_daaa_skew,4,99.80909729003906,92.0,0.04858433833270439,902.0,0.06416027287353021,893.0,0.02967949455640938,841.0,0.0,701.5,-5.0,252.5,-519.0,912.5,0.000160857115706833,432.0,628.3125,50.0
TF:WPT_daad_std,4,5.4715572332497686e-05,829.0,0.23872502369380896,283.0,0.24883352330956354,563.0,0.1511395241758626,467.0,0.0,701.5,-12.0,952.5,-383.0,776.0,0.0001408876258439733,487.0,632.375,50.0
TF:WPT_dadd_rms,4,0.00035980797838419676,758.0,0.23816482812078174,285.0,0.2719501143536469,492.0,0.1616506509329761,394.0,0.0,701.5,-12.0,952.5,-490.0,883.0,2.6080880690915832e-05,887.0,669.125,50.0
TF:glcm_69_entropy_d4_a1,3,0.014957665465772152,549.0,0.12324160548320741,777.0,0.2512618847039838,558.0,0.18696041302565083,307.0,0.0,701.5,-3.0,52.5,-1.0,161.5,0.00012640772691610187,534.0,455.0625,37.5
TIME:hist_b1,3,0.0017277173465117812,678.0,0.18591069265965252,527.0,0.24035134092355914,573.0,0.0658835430690734,771.0,284.0,117.0,-5.0,252.5,-180.0,573.0,0.00031888817919718007,277.0,471.0625,37.5
SPAT:st_anisotropy,3,0.0010510713327676058,702.0,0.16322538679085283,638.0,0.27589237506921194,474.0,0.14252641108900377,549.0,0.0,701.5,-3.0,52.5,-1.0,161.5,0.0001345995371875921,511.0,473.6875,37.5
TF:tfband_2,3,32.447021484375,116.0,0.1495389718207898,702.0,0.19980961690616317,662.0,0.13493954881628784,593.0,0.0,701.5,-8.0,552.5,-1.0,161.5,0.00028108236457031316,302.0,473.8125,37.5
TF:WPT_aadd_energy,3,131892.90625,27.0,0.16126557237289205,645.0,0.18477186213243746,705.0,0.14835808834200628,490.0,0.0,701.5,-9.0,652.5,-117.0,510.5,0.00044524212650561115,210.0,492.6875,37.5
FREQ:bandP_1,3,7840557170688.0,5.0,0.19153449851526147,494.0,0.26933761186585015,512.5,0.09953479608326696,704.0,0.0,701.5,-8.0,552.5,-2.0,359.0,9.276476073253443e-05,646.0,496.8125,37.5
TF:DWT_L1_energy,3,504396.6875,16.0,0.09471420624620618,832.0,0.2656459566546192,520.0,0.12230612221459132,637.0,0.0,701.5,-5.0,252.5,-55.0,448.5,0.000103084940845836,613.0,502.5625,37.5
TF:Ef_rolloff95,3,98363.9375,32.0,0.16789606694571282,605.0,0.29188138686522747,425.0,0.1023389679715303,692.0,0.0,701.5,-7.0,452.5,-212.0,605.0,0.00013277641441448908,515.0,503.5,37.5
TF:Et_p75,3,0.04837751388549805,470.0,0.17613573719095962,567.0,0.4279301659703343,174.0,0.17962378741063412,324.0,0.0,701.5,-10.0,752.5,-130.0,523.0,0.00012721968882618202,529.0,505.125,37.5
TF:glcm_2_homogeneity_d1_a0,3,0.00021572739933617413,790.0,0.19388885286724514,480.0,0.2399430848888664,575.0,0.14365986408827092,542.0,0.0,701.5,-9.0,652.5,-1.0,161.5,0.0005626389793960688,175.0,509.6875,37.5
FREQ:bandP_5,3,12054756851712.0,2.0,0.23654775591655344,291.0,0.29903463725243684,417.5,0.14709780866880554,503.0,0.0,701.5,-11.0,852.5,-329.0,722.0,0.00010695122739385852,600.0,511.1875,37.5
TF:Ef_rolloff85,3,126530.9453125,28.0,0.22228745424082974,353.0,0.29917104543832673,416.0,0.14516441281138795,522.0,0.0,701.5,-11.0,852.5,-321.0,714.5,0.00013654151942849087,503.0,511.3125,37.5
TIME:higuchi_fd,3,0.012623567134141922,558.0,0.19905494949032995,453.0,0.4239082495544224,178.0,0.2222049895935791,212.0,0.0,701.5,-9.0,652.5,-372.0,765.0,0.00010882111633499495,592.0,514.0,37.5
TIME:autocorr_first_zero,3,312.3163757324219,73.0,0.1656119567437355,625.0,0.17499889460601192,727.0,0.13037222275656438,606.0,0.0,701.5,-4.0,152.5,-420.0,813.0,0.00016862370459928944,421.0,514.875,37.5
TF:DWT_L5_min,3,1.5634669065475464,233.0,0.18626452084358627,524.0,0.12344122176404282,815.0,0.13776379366896513,574.0,30.0,371.0,-5.0,252.5,-185.0,578.5,5.943440732906152e-05,774.0,515.25,37.5
TF:tfband_1,3,7.053509712219238,167.0,0.16019816709191062,653.0,0.19818008726038228,669.0,0.1355106039089753,590.0,0.0,701.5,-5.0,252.5,-2.0,359.0,6.844037752074218e-05,733.0,515.625,37.5
TIME:autocorr_lag1,3,0.0026092822663486004,652.5,0.2472886222668246,215.5,0.2705161271430585,504.5,0.14586508387355654,513.5,0.0,701.5,-10.0,752.5,-59.0,452.5,0.00020583810812597347,364.0,519.5625,37.5
