feature,votes,score_variance,rank_variance,score_pearson,rank_pearson,score_mutual_info,rank_mutual_info,score_relieff,rank_relieff,score_mrmr,rank_mrmr,score_rfe,rank_rfe,score_boruta,rank_boruta,score_shap,rank_shap,avg_rank,selection_pct
TF:WPT_adda_rms,7,0.017236817628145218,478.0,0.22004947722252222,100.0,0.4032730505592359,167.0,0.15472533634637675,148.0,180.0,221.0,-10.0,752.5,-112.0,253.5,0.0003736588800066985,197.0,289.625,87.5
TF:das_transient_index,7,1.4150153398513794,221.0,0.17067405297064459,432.0,0.3315541344324324,366.0,0.07521719888881888,531.0,147.0,254.0,-7.0,452.5,-1.0,59.0,0.001172001801556449,34.0,293.6875,87.5
TF:stft_rms,7,0.00043358662514947355,685.0,0.1936499982268224,285.0,0.3639843220102037,285.0,0.13592820394591293,268.0,191.0,210.0,-6.0,352.5,-1.0,59.0,0.0003585427521103419,206.0,293.8125,87.5
TF:WPT_addd_iqr,7,0.030095359310507774,457.0,0.21795428992110233,140.0,0.4264239321612835,101.0,0.15650927550930194,132.0,193.0,208.0,-10.0,752.5,-294.0,435.5,0.0004668971570640678,135.0,295.125,87.5
TIME:autocorr_lag10,7,0.12354832142591476,366.0,0.21798182536674238,139.0,0.3865860770743077,217.0,0.16405003841769866,89.0,249.0,152.0,-11.0,852.5,-252.0,393.0,0.00033263241185506955,228.0,304.5625,87.5
TF:Ef_std,7,0.42700400948524475,269.0,0.19660393761993017,252.0,0.3960790946982682,184.0,0.1528254432822081,165.0,12.0,389.0,-9.0,652.5,-2.0,130.5,0.00018611993438849938,475.0,314.625,87.5
FREQ:bandP_4,7,6443195957248.0,5.0,0.20465514621758746,223.0,0.3383900897675711,353.5,0.1489590554045608,203.0,85.0,316.0,-9.0,652.5,-332.0,473.0,0.0002469502909506766,322.0,318.5,87.5
FREQ:bandP_rel_1,7,0.02101345919072628,473.0,0.18273868792795617,374.0,0.2850820275675181,470.5,0.06242619684475687,584.0,5.0,396.0,-4.0,152.5,-1.0,59.0,0.0009370357554347599,47.0,319.5,87.5
TF:DWT_L0_p2p,7,150.3478546142578,80.5,0.16935764704160447,438.5,0.2891383356448607,459.5,0.10492822326082853,374.5,0.0,701.5,-6.0,352.5,-1.0,59.0,0.000605032369965089,98.0,320.5,87.5
TF:DWT_L0_range,7,150.3478546142578,80.5,0.16935764704160447,438.5,0.2891383356448607,459.5,0.10492822326082853,374.5,0.0,701.5,-6.0,352.5,-1.0,59.0,0.0006004062732511862,99.0,320.625,87.5
