feature,importance,domain
TF:WPT_aaaa_zcr,176.0,TF
TIME:hist_b0,174.0,TIME
TF:tf_ridge_density,174.0,TF
TF:DWT_L2_tk_max,173.0,TF
TF:lbp_b9,172.0,TF
TF:Et_p75,172.0,TF
FREQ:hist_b27,170.0,FREQ
TF:stft_mean,170.0,TF
TF:Ef_n_peaks,170.0,TF
TF:Ef_min,169.0,TF
TF:WPT_dada_min,167.0,TF
TF:stft_crest,167.0,TF
TF:WPT_adad_kurt,167.0,TF
TIME:p1,166.0,TIME
TF:WPT_daaa_max,166.0,TF
FREQ:hist_entropy,166.0,FREQ
TF:WPT_aada_kurt,165.0,TF
TIME:hist_b13,164.0,TIME
TF:DWT_L1_mad,164.0,TF
TF:Ef_spread,163.0,TF
TF:glcm_43_correlation_d3_a0,163.0,TF
TIME:hist_b15,161.0,TIME
TF:WPT_daad_skew,160.0,TF
TF:Et_kurt,159.0,TF
TF:Ef_flatness,157.0,TF
TIME:p10,156.0,TIME
TF:DWT_L4_min,155.0,TF
TF:WPT_dadd_mean,153.0,TF
TF:WPT_dada_max,153.0,TF
TIME:trimmed_mean10,152.0,TIME
FREQ:cepstral_7,152.0,FREQ
TF:WPT_addd_tk_max,152.0,TF
FREQ:mag_max,151.0,FREQ
TF:DWT_L2_range,151.0,TF
TIME:burst_occupancy,150.0,TIME
TF:WPT_daaa_mean,149.0,TF
TF:DWT_L5_skew,149.0,TF
FREQ:cepstral_8,149.0,FREQ
TF:DWT_L0_kurt,148.0,TF
TF:WPT_dadd_min,148.0,TF
TF:glcm_3_correlation_d1_a0,147.0,TF
TF:tf_area,147.0,TF
FREQ:bandP_rel_2,146.0,FREQ
TF:glcm_78_correlation_d4_a3,145.0,TF
TF:WPT_aadd_tk_max,145.0,TF
TIME:std_peak_amp,145.0,TIME
TF:DWT_L1_iqr,144.0,TF
TF:DWT_L4_max,143.0,TF
TF:glcm_70_contrast_d4_a2,143.0,TF
TF:DWT_L0_entropy,142.0,TF
TIME:longest_run_above,141.0,TIME
TF:glcm_75_contrast_d4_a3,141.0,TF
TF:WPT_dadd_tk_max,141.0,TF
TF:glcm_23_correlation_d2_a0,140.0,TF
TF:WPT_aadd_min,140.0,TF
TF:glcm_48_correlation_d3_a1,140.0,TF
TF:lbp_b0,139.0,TF
TF:WPT_aada_max,138.0,TF
FREQ:spec_rolloff85,138.0,FREQ
FREQ:mag_min,137.0,FREQ
TF:Et_skew,137.0,TF
TF:WPT_aadd_max,136.0,TF
TF:DWT_L6_mean,136.0,TF
TF:WPT_addd_min,136.0,TF
FREQ:cepstral_4,136.0,FREQ
